group_id,match_value
748919,500g
916768,
459516,0.709 g
459516,0.709 g
731432,
731432,1400mg
731432,1400mg
731432,1400MG
731432,1400MG
731432,1400MG
149159,30KG
308856,10 kg
281678,100g
281678,100g
281678,100 g
281678,
731432,200g
731432,200g
731432,200g
731432,200g
731432,
252585,
299791,2.7G
884560,28g
179080,4.1KG
179080,48V
866516,158g
866516,158g
459516,5000mg
524635,55 g
524635,55 g
524635,1855g
524635,55 g
524635,855g
730429,
881883,26g
179080,800W
179080,36V
601746,
487566,
794161,10g
639090,35g
752266,150W
752266,150W
752266,30W
752266,30W
299791,15.5g
237000,200G
179080,250 W
884560,
844474,0.8KG
709627,169g
299791,10g
523149,
630390,750 g
810266,160 g
748919,270g
993359,500g
731432,60g
731432,60g
731432,60g
731432,1KG
752266,60W
459516,30ml
459516,30ml
459516,30ml
459516,30ml
459516,30ml
529606,2G
299791,8.1 g
308856,2kg
308856,
681445,
365637,200g
365637,200g
365637,200g
365637,200 g
365637,100g
365637,200 g
487566,5 KG
767202,
369753,
731432,4mg
709627,
639090,100g
639090,100g
459516,600 mg
630869,3.2G
630869,6.5g
881883,160G
558374,42g
601746,26 G
752266,0.55w
254449,50 mg
523149,
416664,
459516,500MG
459516,500MG
241608,16G
308856,2KG
459516,
630869,
459516,750 mg
308671,
299791,23G
630869,9.8g
442321,
991868,
208023,2.5KG
593600,50G
459516,10 ml
459516,
299791,4.1g
630869,9.2 g
308856,
308856,20KG
731432,9g
731432,13g
731432,1000 mg
908443,264G
308856,26 kg
299791,72.57 g
459516,100 g
731432,180G
731432,200MG
731432,500MG
731432,180G
731432,180G
630869,33g
523149,12.8g
558374,50.1g
881883,350g
529606,567 g
529606,567 g
529606,567 g
529606,567 g
529606,567g
529606,567 g
752266,60W
752266,240V
916768,
893692,2.4kg
120569,25KG
564709,50 kg
593600,263g
507988,250g
507988,250g
459516,200G
599772,1.8KG
601746,800 g
630869,24.8g
483370,4KG
459516,
208023,3.59kg
983323,12V
299791,7g
299791,9.8g
459516,
523149,3.8g
844474,0.45 kg
179080,
271537,12V
271537,2V
271537,12V
271537,
589105,
748919,125G
523149,21g
630869,30g
752266,265V
459516,
459516,
459516,
459516,0.7 ml
459516,679 mg
459516,0.7 ml
881883,
120569,15KG
641642,008W
311997,175 kg
311997,175 kg
281678,1g
318770,100W
318770,100W
318770,
318770,100W
241608,
955292,
767202,2G
369753,5 ml
365637,100g
810266,100g
639090,
731432,60 G
731432,2 G
731432,2 G
731432,2 g
150913,
630869,14.8g
675317,2kg
